                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.4184,                0.89371,                 1.6262,                0.91928,                0.91139,                0.94702,                0.50598,                 1.7067,                 1.1281,                 1.9717,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.3746,                0.86615,                 1.5993,                      1,                0.90658,                0.94078,                0.54798,                 1.5173,                0.91523,                 1.8442,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.3456,                 0.8105,                 1.6194,                0.94414,                0.67625,                0.78811,                 0.4586,                 1.6138,                 1.1342,                 2.0085,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.3836,                0.84934,                 1.5782,                0.83095,                   0.84,                0.86024,                0.48592,                 1.5611,                  1.082,                 1.8683,              0.0016476,              0.0016476,              0.0016476
                     92,                  1.395,                0.80974,                 1.6107,                0.91921,                0.91052,                0.91742,                 0.5431,                 1.5652,                0.93902,                 1.8257,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.3138,                0.82985,                 1.5674,                0.95645,                0.87847,                0.93452,                0.55074,                 1.4865,                0.82246,                  1.803,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.2794,                0.77512,                 1.5068,                      1,                0.87394,                0.94436,                0.52897,                 1.4667,                0.81276,                 1.8428,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.3494,                0.78715,                 1.5412,                 0.9951,                   0.88,                0.96776,                0.57477,                 1.5396,                0.81377,                 1.8572,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.3732,                0.76163,                 1.6068,                0.99199,                   0.88,                0.93387,                0.50999,                 1.7132,                 0.9821,                 2.0684,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.3961,                0.79604,                 1.5886,                0.97906,                   0.84,                 0.9255,                0.49791,                 1.7173,                 1.0609,                 2.0718,              0.0016238,              0.0016238,              0.0016238
                     98,                 1.3575,                0.78124,                 1.5666,                0.99876,                   0.88,                0.92671,                 0.4896,                 1.6974,                0.92819,                  2.073,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.3783,                0.80915,                 1.6208,                0.94761,                   0.92,                0.93658,                 0.5215,                 1.6507,                 0.8774,                 1.9486,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.3059,                0.77561,                 1.5601,                0.97903,                   0.88,                0.94374,                0.52938,                 1.6023,                0.94083,                 1.8534,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.3319,                0.79582,                 1.5944,                      1,                0.91247,                0.95666,                0.51319,                  1.683,                0.87301,                 1.9857,               0.001608,               0.001608,               0.001608
                    102,                 1.3141,                0.82218,                 1.6083,                 0.9918,                   0.92,                0.94443,                0.53423,                 1.4426,                 0.8972,                 1.8019,               0.001604,               0.001604,               0.001604
                    103,                 1.2526,                0.82378,                 1.5506,                0.96555,                    0.8,                0.91711,                0.49843,                 1.5727,                 1.2283,                 1.9753,                 0.0016,                 0.0016,                 0.0016
                    104,                 1.3256,                0.82886,                 1.5437,                0.91529,                0.86475,                0.91344,                0.51199,                 1.5161,                0.88441,                 1.8269,              0.0015961,              0.0015961,              0.0015961
                    105,                 1.2998,                0.76854,                 1.5318,                0.93292,                   0.84,                0.94585,                0.55963,                 1.4251,                0.80469,                 1.7936,              0.0015921,              0.0015921,              0.0015921
                    106,                 1.2713,                0.75726,                  1.508,                      1,                0.90686,                0.95802,                0.58601,                 1.3723,                0.83067,                 1.7874,              0.0015882,              0.0015882,              0.0015882
                    107,                 1.2736,                0.75832,                 1.5076,                 0.9975,                   0.92,                0.96596,                0.56375,                 1.4654,                0.83304,                 1.8291,              0.0015842,              0.0015842,              0.0015842
                    108,                 1.2935,                 0.7863,                 1.5413,                0.88433,                0.91752,                0.93831,                0.53768,                 1.4764,                0.85863,                 1.7704,              0.0015802,              0.0015802,              0.0015802
                    109,                 1.2768,                0.74341,                 1.5436,                0.95796,                0.91168,                0.94552,                0.55187,                 1.5446,                0.85704,                 1.8623,              0.0015763,              0.0015763,              0.0015763
                    110,                 1.3009,                0.76694,                 1.5374,                0.95798,                0.91225,                0.97452,                0.54306,                 1.5411,                0.74985,                 1.8295,              0.0015723,              0.0015723,              0.0015723
                    111,                 1.1876,                0.71861,                 1.4238,                0.95934,                0.94418,                0.97194,                0.58161,                 1.4585,                0.75351,                 1.7737,              0.0015684,              0.0015684,              0.0015684
